Name,Value,Reference
Conc. [mol m^-3],1000,Guo et al.
Thickness [m],2.00E-05,Randall et a.
Ionic Conductivity [S m^-1],0.2875,Wiki
Volume Fraction,0.724,Randell et al.
Bruggerman Coefficient,1.50E+00,
