t [s],tt [s],Step_Index,Cycle_Index,I [A],V [V],cap_charge [Ahr],cap_discharge [Ahr]
820.5100787,760.5084237,2,1,0.999833703,3.597599983,0.211228108,0
830.5148316,770.5131766,2,1,0.999833703,3.598571301,0.214006864,0
840.5244914,780.5228364,2,1,0.999833703,3.599542618,0.216787012,0
850.5370721,790.5354172,2,1,0.999833703,3.600513935,0.219567928,0
860.5438502,800.5421952,2,1,0.999833703,3.601647139,0.222347257,0
870.5505069,810.5488519,2,1,1.000014305,3.602780342,0.225126613,0
880.5631509,820.5614959,2,1,0.999833703,3.604075432,0.227907596,0
890.56786,830.566205,2,1,0.999833703,3.604884863,0.230686384,0
900.5775438,840.5758888,2,1,0.999653101,3.606018066,0.233466574,0
910.5891378,850.5874828,2,1,1.000014305,3.607313156,0.236247279,0
920.5939612,860.5923062,2,1,1.000014305,3.608608246,0.239026075,0
930.5997003,870.5980453,2,1,0.999833703,3.609741449,0.241805123,0
940.6113209,880.6096659,2,1,0.999833703,3.610712767,0.244585776,0
950.6170393,890.6153843,2,1,0.999833703,3.612007856,0.247364766,0
960.6218271,900.6201721,2,1,0.999833703,3.612979174,0.250143541,0
970.622695,910.6210401,2,1,1.000014305,3.61443615,0.252921267,0
980.6274556,920.6258006,2,1,0.999833703,3.615569353,0.25570009,0
990.6341948,930.6325398,2,1,0.999653101,3.616702557,0.25847942,0
1000.643871,940.6422163,2,1,1.000014305,3.617997646,0.261259543,0
1010.651594,950.6499391,2,1,1.000014305,3.619292736,0.26403915,0
1020.65632,960.6546649,2,1,0.999833703,3.62042594,0.266817934,0
1030.667978,970.6663231,2,1,0.999833703,3.621721029,0.269598619,0
1040.675697,980.6740425,2,1,0.999833703,3.622854233,0.272378258,0
1050.680412,990.6787568,2,1,1.000194907,3.624311209,0.275157039,0
1060.690085,1000.68843,2,1,0.999833703,3.625444412,0.277937206,0
1070.695827,1010.694172,2,1,0.999833703,3.626577616,0.280716253,0
1080.700621,1020.698966,2,1,0.999653101,3.627872705,0.283495036,0
1090.711248,1030.709593,2,1,0.999833703,3.629167795,0.286275476,0
1100.719901,1040.718246,2,1,0.999833703,3.630462885,0.289055322,0
1110.723721,1050.722066,2,1,0.999833703,3.631757975,0.291833817,0
1120.73343,1060.731775,2,1,0.999833703,3.633053064,0.294613953,0
1130.737099,1070.735444,2,1,1.000014305,3.634348154,0.297392476,0
1140.743901,1080.742246,2,1,0.999833703,3.635481358,0.300171824,0
1150.753534,1090.751879,2,1,0.999833703,3.636776447,0.302951991,0
1160.757362,1100.755707,2,1,0.999833703,3.637747765,0.305730563,0
1170.762171,1110.760517,2,1,1.000014305,3.639204741,0.308509394,0
1180.772766,1120.771111,2,1,1.000014305,3.640176058,0.311289869,0
1190.775602,1130.773947,2,1,1.000014305,3.641309261,0.314068131,0
1200.781321,1140.779666,2,1,1.000014305,3.642442465,0.316847193,0
1210.790975,1150.78932,2,1,0.999653101,3.643251896,0.319627362,0
1220.794773,1160.793118,2,1,0.999833703,3.644546986,0.322405928,0
1230.798571,1170.796916,2,1,0.999833703,3.645518303,0.325184486,0
1240.808232,1180.806577,2,1,0.999833703,3.646651506,0.327964677,0
1250.812044,1190.810389,2,1,1.000014305,3.647946596,0.330743221,0
1260.81584,1200.814185,2,1,0.999833703,3.648917913,0.333521789,0
1270.826453,1210.824798,2,1,0.999833703,3.650051117,0.336302194,0
1280.830285,1220.82863,2,1,1.000014305,3.65118432,0.339080737,0
1290.83605,1230.834395,2,1,0.999833703,3.652155638,0.341859765,0
1300.846698,1240.845043,2,1,0.999833703,3.653288841,0.344640155,0
1310.852411,1250.850756,2,1,0.999833703,3.654583931,0.347419217,0
1320.858145,1260.85649,2,1,0.999833703,3.655717134,0.350198286,0
1330.859007,1270.857352,2,1,0.999833703,3.656526566,0.352976009,0
1340.863839,1280.862184,2,1,1.000014305,3.657821655,0.355754786,0
1350.86761,1290.865955,2,1,0.999653101,3.658792973,0.358533309,0
1360.876287,1300.874632,2,1,0.999833703,3.660249949,0.361313167,0
1370.880073,1310.878418,2,1,0.999833703,3.661383152,0.364091652,0
1380.883853,1320.882198,2,1,0.999833703,3.662516356,0.3668701,0
1390.894523,1330.892868,2,1,1.000014305,3.663811445,0.369650518,0
1400.898306,1340.896651,2,1,0.999833703,3.664944649,0.372429049,0
1410.902104,1350.900449,2,1,1.000014305,3.666077852,0.375207561,0
1420.912761,1360.911106,2,1,0.999833703,3.66704917,0.377987977,0
1430.916555,1370.9149,2,1,1.000014305,3.668182373,0.380766462,0
1440.920362,1380.918707,2,1,0.999833703,3.669315577,0.383544967,0
1450.930955,1390.9293,2,1,0.999833703,3.67044878,0.38632534,0
1460.936732,1400.935077,2,1,0.999833703,3.671096325,0.389104397,0
1470.940512,1410.938857,2,1,0.999833703,3.672067642,0.391882905,0
1480.951159,1420.949504,2,1,0.999833703,3.673200607,0.394663296,0
1490.955919,1430.954264,2,1,0.999833703,3.674010038,0.397442024,0
1500.961687,1440.960032,2,1,0.999653101,3.674981356,0.400221088,0
1510.97332,1450.971665,2,1,1.000014305,3.675790787,0.403001803,0
1520.980979,1460.979324,2,1,0.999833703,3.676762104,0.405781364,0
1530.98479,1470.983135,2,1,1.000014305,3.677409649,0.408559883,0
1540.995424,1480.993769,2,1,0.999653101,3.678057194,0.411340327,0
1550.999299,1490.997644,2,1,0.999833703,3.678704739,0.41411883,0
1561.004027,1501.002372,2,1,1.000014305,3.67951417,0.416897565,0
1571.014645,1511.01299,2,1,0.999833703,3.679999828,0.419677974,0
1581.02134,1521.019685,2,1,0.999833703,3.680485487,0.422457273,0
1591.025156,1531.023501,2,1,1.000014305,3.681294918,0.425235775,0
1601.034803,1541.033148,2,1,0.999833703,3.681942463,0.428015955,0
1611.038598,1551.036943,2,1,0.999833703,3.682266235,0.430794492,0
1621.043416,1561.041761,2,1,1.000014305,3.68291378,0.433573255,0
1631.053082,1571.051427,2,1,0.999653101,3.683237553,0.436353378,0
1641.05688,1581.055225,2,1,0.999833703,3.683723211,0.439131888,0
1651.06555,1591.063895,2,1,0.999833703,3.68420887,0.441911755,0
