Name,Value,Reference
Side Reaction Reference Overpotential [V],0.4,Randell et al.
Side Reaction Exchange Current [A m^2],1.50E-06,Randell et al.
Molar Weight [kg mol^-1],0.16,Yin et al.
Density [kg m^-3],1600,Yin et al.
Conductivity [S m^-1],5.00E-06,Yin et al.
